"NOM,N,4,0","PRSTR,N,4,0","CODE,C,5","NAME,C,254","NAME1,C,254"
43,10,11218,индивидуальным предпринимателям,
44,10,11219,гражданам (физическим лицам),
45,10,11220,физическим лицам - нерезидентам,
46,120,11200,Итого по символам 11201 - 11220,
47,20,,3. По денежным средствам на счетах:,
48,10,11301,в Банке России,
49,10,11302,в кредитных организациях,
50,10,11303,в банках-нерезидентах,
51,120,11300,Итого по символам 11301 - 11303,
52,20,,4. По депозитам размещенным:,
53,10,11401,в Банке России,
54,10,11402,в кредитных организациях,
55,10,11403,в банках-нерезидентах,
56,120,11400,Итого по символам 11401 - 11403,
57,20,,"5. По вложениям в долговые ценные бумаги, оцениваемые по справедливой стоимости через прибыль или убыток (кроме векселей):",
58,10,11501,Российской Федерации,
59,10,11502,субъектов Российской Федерации и органов местного самоуправления,
60,10,11503,Банка России,
61,10,11504,кредитных организаций,
62,10,11505,прочих резидентов,
63,10,11506,иностранных государств,
64,10,11507,банков-нерезидентов,
65,10,11508,прочих нерезидентов,
66,120,11500,Итого по символам 11501 - 11508,
67,20,,"6. По вложениям в долговые ценные бумаги, оцениваемые по справедливой стоимости через прочий совокупный доход (кроме векселей):",
68,10,11601,Российской Федерации,
69,10,11602,субъектов Российской Федерации и органов местного самоуправления,
70,10,11603,Банка России,
71,10,11604,кредитных организаций,
72,10,11605,прочих резидентов,
73,10,11606,иностранных государств,
74,10,11607,банков-нерезидентов,
75,10,11608,прочих нерезидентов,
76,120,11600,Итого по символам 11601 - 11608,
77,20,,"7. По вложениям в долговые ценные бумаги, оцениваемые по амортизированной стоимости (кроме векселей):",
78,10,11701,Российской Федерации,
79,10,11702,субъектов Российской Федерации и органов местного самоуправления,
80,10,11703,Банка России,
81,10,11704,кредитных организаций,
82,10,11705,прочих резидентов,
83,10,11706,иностранных государств,
84,10,11707,банков-нерезидентов,
85,10,11708,прочих нерезидентов,
86,120,11700,Итого по символам 11701 - 11708,
87,20,,8. По вложениям в учтенные векселя:,
88,10,11801,органов федеральной власти,
89,10,11802,органов власти субъектов Российской Федерации и органов местного самоуправления,
90,10,11803,кредитных организаций,
91,10,11804,прочих резидентов,
92,10,11805,органов государственной власти иностранных государств,
93,10,11806,органов местной власти иностранных государств,
94,10,11807,банков-нерезидентов,
95,10,11808,прочих нерезидентов,
96,120,11800,Итого по символам 11801 - 11808,
97,120,11000,Итого по разделу 1,
98,20,,Раздел 2. Комиссионные доходы,
99,20,,"1. По предоставленным кредитам и кредитам, права требования по которым приобретены:",
100,10,12101,Минфину России,
101,10,12102,финансовым органам субъектов Российской Федерации и органов местного самоуправления,
102,10,12103,государственным внебюджетным фондам Российской Федерации,
103,10,12104,внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления,
104,10,12105,"финансовым организациям, находящимся в федеральной собственности",
105,10,12106,"коммерческим организациям, находящимся в федеральной собственности",
106,10,12107,"некоммерческим организациям, находящимся в федеральной собственности",
107,10,12108,"финансовым организациям, находящимся в государственной (кроме федеральной) собственности",
108,10,12109,"коммерческим организациям, находящимся в государственной (кроме федеральной) собственности",
109,10,12110,"некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности",
110,10,12111,негосударственным финансовым организациям,
111,10,12112,негосударственным коммерческим организациям,
112,10,12113,негосударственным некоммерческим организациям,
113,10,12114,индивидуальным предпринимателям,
114,10,12115,гражданам (физическим лицам),
115,10,12116,юридическим лицам - нерезидентам,
116,10,12117,физическим лицам - нерезидентам,
117,10,12118,кредитным организациям,
118,10,12119,банкам-нерезидентам,
119,10,12120,иностранным государствам,
120,120,12100,Итого по символам 12101 - 12120,
121,20,,"2. По прочим размещенным средствам, в том числе по прочим приобретенным правам требования:",
122,10,12201,в Минфине России,
123,10,12202,в финансовых органах субъектов Российской Федерации и органов местного самоуправления,
124,10,12203,в государственных внебюджетных фондах Российской Федерации,
125,10,12204,во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления,
126,10,12205,"в финансовых организациях, находящихся в федеральной собственности",
127,10,12206,"в коммерческих организациях, находящихся в федеральной собственности",
128,10,12207,"в некоммерческих организациях, находящихся в федеральной собственности",
129,10,12208,"в финансовых организациях, находящихся в государственной (кроме федеральной) собственности",
130,10,12209,"в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности",
131,10,12210,"в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности",
132,10,12211,в негосударственных финансовых организациях,
133,10,12212,в негосударственных коммерческих организациях,
134,10,12213,в негосударственных некоммерческих организациях,
135,10,12214,в юридических лицах - нерезидентах,
136,10,12215,в кредитных организациях,
137,10,12216,в банках-нерезидентах,
138,10,12217,в Банке России,
139,10,12218,индивидуальным предпринимателям,
140,10,12219,гражданам (физическим лицам),
141,10,12220,физическим лицам - нерезидентам,
142,120,12200,Итого по символам 12201 - 12220,
143,20,,3. По депозитам размещенным:,
144,10,12301,в Банке России,
145,10,12302,в кредитных организациях,
146,10,12303,в банках-нерезидентах,
147,120,12300,Итого по символам 12301 - 12303,
148,120,12000,Итого по разделу 2,
149,20,,"Раздел 3. Корректировки, увеличивающие процентные доходы, на разницу между процентными доходами за отчетный период, рассчитанными в соответствии с применением эффективной процентной ставки, и процентными доходами, начисленными без применения эффективной",процентной ставки
150,20,,"1. По предоставленным кредитам и кредитам, права требования по которым приобретены:",
151,10,13101,Минфину России,
152,10,13102,финансовым органам субъектов Российской Федерации и органов местного самоуправления,
153,10,13103,государственным внебюджетным фондам Российской Федерации,
154,10,13104,внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления,
155,10,13105,"финансовым организациям, находящимся в федеральной собственности",
156,10,13106,"коммерческим организациям, находящимся в федеральной собственности",
157,10,13107,"некоммерческим организациям, находящимся в федеральной собственности",
158,10,13108,"финансовым организациям, находящимся в государственной (кроме федеральной) собственности",
159,10,13109,"коммерческим организациям, находящимся в государственной (кроме федеральной) собственности",
160,10,13110,"некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности",
161,10,13111,негосударственным финансовым организациям,
162,10,13112,негосударственным коммерческим организациям,
163,10,13113,негосударственным некоммерческим организациям,
164,10,13114,индивидуальным предпринимателям,
165,10,13115,гражданам (физическим лицам),
166,10,13116,юридическим лицам - нерезидентам,
167,10,13117,физическим лицам - нерезидентам,
168,10,13118,кредитным организациям,
169,10,13119,банкам-нерезидентам,
170,10,13120,иностранным государствам,
171,120,13100,Итого по символам 13101 - 13120,
172,20,,"2. По прочим размещенным средствам, в том числе по прочим приобретенным правам требования:",
173,10,13201,в Минфине России,
174,10,13202,в финансовых органах субъектов Российской Федерации и органов местного самоуправления,
175,10,13203,в государственных внебюджетных фондах Российской Федерации,
176,10,13204,во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления,
177,10,13205,"в финансовых организациях, находящихся в федеральной собственности",
178,10,13206,"в коммерческих организациях, находящихся в федеральной собственности",
179,10,13207,"в некоммерческих организациях, находящихся в федеральной собственности",
180,10,13208,"в финансовых организациях, находящихся в государственной (кроме федеральной) собственности",
181,10,13209,"в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности",
182,10,13210,"в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности",
183,10,13211,в негосударственных финансовых организациях,
184,10,13212,в негосударственных коммерческих организациях,
185,10,13213,в негосударственных некоммерческих организациях,
186,10,13214,в юридических лицах - нерезидентах,
187,10,13215,в кредитных организациях,
188,10,13216,в банках-нерезидентах,
189,10,13217,в Банке России,
190,10,13218,индивидуальным предпринимателям,
191,10,13219,гражданам (физическим лицам),
192,10,13220,физическим лицам - нерезидентам,
193,120,13200,Итого по символам 13201 - 13220,
194,20,,3. По денежным средствам на счетах:,
195,10,13301,в Банке России,
196,10,13302,в кредитных организациях,
197,10,13303,в банках-нерезидентах,
198,120,13300,Итого по символам 13301 - 13303,
199,20,,4. По депозитам размещенным:,
200,10,13401,в Банке России,
201,10,13402,в кредитных организациях,
202,10,13403,в банках-нерезидентах,
203,120,13400,Итого по символам 13401 - 13403,
204,20,,"5. По вложениям в долговые ценные бумаги, оцениваемые по справедливой стоимости через прибыль или убыток (кроме векселей):",
205,10,13501,Российской Федерации,
206,10,13502,субъектов Российской Федерации и органов местного самоуправления,
207,10,13503,Банка России,
208,10,13504,кредитных организаций,
209,10,13505,прочих резидентов,
210,10,13506,иностранных государств,
211,10,13507,банков-нерезидентов,
212,10,13508,прочих нерезидентов,
213,120,13500,Итого по символам 13501 - 13508,
214,20,,"6. По вложениям в долговые ценные бумаги, оцениваемые по справедливой стоимости через прочий совокупный доход (кроме векселей):",
215,10,13601,Российской Федерации,
216,10,13602,субъектов Российской Федерации и органов местного самоуправления,
217,10,13603,Банка России,
218,10,13604,кредитных организаций,
219,10,13605,прочих резидентов,
220,10,13606,иностранных государств,
221,10,13607,банков-нерезидентов,
222,10,13608,прочих нерезидентов,
223,120,13600,Итого по символам 13601 - 13608,
224,20,,"7. По вложениям в долговые ценные бумаги, оцениваемые по амортизированной стоимости (кроме векселей):",
225,10,13701,Российской Федерации,
226,10,13702,субъектов Российской Федерации и органов местного самоуправления,
227,10,13703,Банка России,
228,10,13704,кредитных организаций,
229,10,13705,прочих резидентов,
230,10,13706,иностранных государств,
231,10,13707,банков-нерезидентов,
232,10,13708,прочих нерезидентов,
233,120,13700,Итого по символам 13701 - 13708,
234,20,,8. По вложениям в учтенные векселя:,
235,10,13801,органов федеральной власти,
236,10,13802,органов власти субъектов Российской Федерации и органов местного самоуправления,
237,10,13803,кредитных организаций,
238,10,13804,прочих резидентов,
239,10,13805,органов государственной власти иностранных государств,
240,10,13806,органов местной власти иностранных государств,
241,10,13807,банков-нерезидентов,
242,10,13808,прочих нерезидентов,
243,120,13800,Итого по символам 13801 - 13808,
244,120,13000,Итого по разделу 3,
245,20,,"Раздел 4. Корректировки, уменьшающие процентные расходы, на разницу между процентными расходами за отчетный период, рассчитанными в соответствии с применением эффективной процентной ставки, и процентными расходами, начисленными без применения эффективной", процентной ставки
246,20,,1. По полученным кредитам:,
247,10,14101,от Банка России,
248,10,14102,от кредитных организаций,
249,10,14103,от банков-нерезидентов,
250,10,14104,от иностранных государств,
251,10,14105,от других кредиторов,
252,120,14100,Итого по символам 14101 - 14105,
253,20,,2. По денежным средствам на банковских счетах клиентов - юридических лиц:,
254,10,14201,"финансовых организаций, находящихся в федеральной собственности",
255,10,14202,"коммерческих организаций, находящихся в федеральной собственности",
256,10,14203,"некоммерческих организаций, находящихся в федеральной собственности",
257,10,14204,"финансовых организаций, находящихся в государственной (кроме федеральной) собственности",
258,10,14205,"коммерческих организаций, находящихся в государственной (кроме федеральной) собственности",
259,10,14206,"некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности",
260,10,14207,негосударственных финансовых организаций,
261,10,14208,негосударственных коммерческих организаций,
262,10,14209,негосударственных некоммерческих организаций,
263,10,14210,кредитных организаций,
264,10,14211,банков-нерезидентов,
265,10,14212,индивидуальных предпринимателей,
266,10,14213,юридических лиц - нерезидентов,
267,120,14200,Итого по символам 14201 - 14213,
268,20,,3. По привлеченным депозитам юридических лиц:,
269,10,14301,Федерального казначейства,
270,10,14302,финансовых органов субъектов Российской Федерации и органов местного самоуправления,
271,10,14303,государственных внебюджетных фондов Российской Федерации,
272,10,14304,внебюджетных фондов субъектов Российской Федерации и органов местного самоуправления,
273,10,14305,"финансовых организаций, находящихся в федеральной собственности",
274,10,14306,"коммерческих организаций, находящихся в федеральной собственности",
275,10,14307,"некоммерческих организаций, находящихся в федеральной собственности",
276,10,14308,"финансовых организаций, находящихся в государственной (кроме федеральной) собственности",
277,10,14309,"коммерческих организаций, находящихся в государственной (кроме федеральной) собственности",
278,10,14310,"некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности",
279,10,14311,негосударственных финансовых организаций,
280,10,14312,негосударственных коммерческих организаций,
281,10,14313,негосударственных некоммерческих организаций,
282,10,14314,юридических лиц - нерезидентов,
283,10,14315,кредитных организаций,
284,10,14316,банков-нерезидентов,
285,10,14317,Банка России,
286,10,14318,индивидуальных предпринимателей,
287,120,14300,Итого по символам 14301 - 14318,
288,20,,4. По прочим привлеченным средствам юридических лиц:,
289,10,14401,Минфина России,
290,10,14402,финансовых органов субъектов Российской Федерации и органов местного самоуправления,
291,10,14403,государственных внебюджетных фондов Российской Федерации,
292,10,14404,внебюджетных фондов субъектов Российской Федерации и органов местного самоуправления,
293,10,14405,"финансовых организаций, находящихся в федеральной собственности",
294,10,14406,"коммерческих организаций, находящихся в федеральной собственности",
295,10,14407,"некоммерческих организаций, находящихся в федеральной собственности",
296,10,14408,"финансовых организаций, находящихся в государственной (кроме федеральной) собственности",
297,10,14409,"коммерческих организаций, находящихся в государственной (кроме федеральной) собственности",
298,10,14410,"некоммерческих организаций, находящихся в государственной (кроме федеральной) собственности",
299,10,14411,негосударственных финансовых организаций,
300,10,14412,негосударственных коммерческих организаций,
301,10,14413,негосударственных некоммерческих организаций,
302,10,14414,юридических лиц - нерезидентов,
303,10,14415,кредитных организаций,
304,10,14416,банков-нерезидентов,
305,10,14417,Банка России,
306,10,14418,индивидуальных предпринимателей,
307,120,14400,Итого по символам 14401 - 14418,
308,20,,5. По денежным средствам на банковских счетах клиентов - физических лиц:,
309,10,14501,граждан Российской Федерации,
310,10,14502,нерезидентов,
311,120,14500,"Итого по символам 14501, 14502",
312,20,,6. По привлеченным депозитам клиентов - физических лиц:,
313,10,14601,граждан Российской Федерации,
314,10,14602,нерезидентов,
315,120,14600,"Итого по символам 14601, 14602",
316,20,,7. По прочим привлеченным средствам клиентов - физических лиц:,
317,10,14701,граждан Российской Федерации,
318,10,14702,нерезидентов,
319,120,14700,"Итого по символам 14701, 14702",
320,20,,8. По выпущенным долговым ценным бумагам:,
321,10,14801,по облигациям,
322,10,14802,по депозитным сертификатам,
323,10,14803,по сберегательным сертификатам,
324,10,14804,по векселям,
325,10,14805,по прочим выпущенным долговым ценным бумагам,
326,120,14800,Итого по символам 14801 - 14805,
327,120,14000,Итого по разделу 4,
328,20,,Раздел 5. Доходы от восстановления (уменьшения) резервов на возможные потери,
329,20,,"1. По предоставленным кредитам и кредитам, права требования по которым приобретены:",
330,10,15101,Минфину России,
331,10,15102,финансовым органам субъектов Российской Федерации и органов местного самоуправления,
332,10,15103,государственным внебюджетным фондам Российской Федерации,
333,10,15104,внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления,
334,10,15105,"финансовым организациям, находящимся в федеральной собственности",
335,10,15106,"коммерческим организациям, находящимся в федеральной собственности",
336,10,15107,"некоммерческим организациям, находящимся в федеральной собственности",
337,10,15108,"финансовым организациям, находящимся в государственной (кроме федеральной) собственности",
338,10,15109,"коммерческим организациям, находящимся в государственной (кроме федеральной) собственности",
339,10,15110,"некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности",
340,10,15111,негосударственным финансовым организациям,
341,10,15112,негосударственным коммерческим организациям,
342,10,15113,негосударственным некоммерческим организациям,
343,10,15114,индивидуальным предпринимателям,
344,10,15115,гражданам (физическим лицам),
345,10,15116,юридическим лицам - нерезидентам,
346,10,15117,физическим лицам - нерезидентам,
347,10,15118,кредитным организациям,
348,10,15119,банкам-нерезидентам,
349,10,15120,иностранным государствам,
350,120,15100,Итого по символам 15101 - 15120,
351,20,,"2. По прочим размещенным средствам, в том числе по прочим приобретенным правам требования:",
352,10,15201,в Минфине России,
353,10,15202,в финансовых органах субъектов Российской Федерации и органов местного самоуправления,
354,10,15203,в государственных внебюджетных фондах Российской Федерации,
355,10,15204,во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления,
356,10,15205,"в финансовых организациях, находящихся в федеральной собственности",
357,10,15206,"в коммерческих организациях, находящихся в федеральной собственности",
358,10,15207,"в некоммерческих организациях, находящихся в федеральной собственности",
359,10,15208,"в финансовых организациях, находящихся в государственной (кроме федеральной) собственности",
360,10,15209,"в коммерческих организациях, находящихся в государственной (кроме федеральной) собственности",
361,10,15210,"в некоммерческих организациях, находящихся в государственной (кроме федеральной) собственности",
362,10,15211,в негосударственных финансовых организациях,
363,10,15212,в негосударственных коммерческих организациях,
364,10,15213,в негосударственных некоммерческих организациях,
365,10,15214,в юридических лицах - нерезидентах,
366,10,15215,в кредитных организациях,
367,10,15216,в банках-нерезидентах,
368,10,15217,в Банке России,
369,10,15218,индивидуальным предпринимателям,
370,10,15219,гражданам (физическим лицам),
371,10,15220,физическим лицам - нерезидентам,
372,120,15200,Итого по символам 15201 - 15220,
373,20,,3. По денежным средствам на счетах:,
374,10,15301,в Банке России,
375,10,15302,в кредитных организациях,
376,10,15303,в банках-нерезидентах,
377,120,15300,Итого по символам 15301 - 15303,
378,20,,4. По депозитам размещенным:,
379,10,15401,в Банке России,
380,10,15402,в кредитных организациях,
381,10,15403,в банках-нерезидентах,
382,120,15400,Итого по символам 15401 - 15403,
383,20,,"5. По вложениям в долговые ценные бумаги, оцениваемые по справедливой стоимости через прочий совокупный доход (кроме векселей):",
384,10,15501,Российской Федерации,
385,10,15502,субъектов Российской Федерации и органов местного самоуправления,
386,10,15503,Банка России,
387,10,15504,кредитных организаций,
388,10,15505,прочих резидентов,
389,10,15506,иностранных государств,
390,10,15507,банков-нерезидентов,
391,10,15508,прочих нерезидентов,
392,120,15500,Итого по символам 15501 - 15508,
393,20,,"6. По вложениям в долговые ценные бумаги, оцениваемые по амортизированной стоимости (кроме векселей):",
394,10,15601,Российской Федерации,
395,10,15602,субъектов Российской Федерации и органов местного самоуправления,
396,10,15603,Банка России,
397,10,15604,кредитных организаций,
398,10,15605,прочих резидентов,
399,10,15606,иностранных государств,
400,10,15607,банков-нерезидентов,
401,10,15608,прочих нерезидентов,
402,120,15600,Итого по символам 15601 - 15608,
403,20,,7. По вложениям в учтенные векселя:,
404,10,15701,органов федеральной власти,
405,10,15702,органов власти субъектов Российской Федерации и органов местного самоуправления,
406,10,15703,кредитных организаций,
407,10,15704,прочих резидентов,
408,10,15705,органов государственной власти иностранных государств,
409,10,15706,органов местной власти иностранных государств,
410,10,15707,банков-нерезидентов,
411,10,15708,прочих нерезидентов,
412,120,15700,Итого по символам 15701 - 15708,
413,120,15000,Итого по разделу 5,
414,20,,"Раздел 6. Премии, уменьшающие процентные расходы",
415,20,,1. По выпущенным долговым ценным бумагам:,
416,10,16101,по облигациям,
417,10,16102,по депозитным сертификатам,
418,10,16103,по сберегательным сертификатам,
419,10,16104,по векселям,
420,10,16105,по прочим выпущенным долговым ценным бумагам,
421,120,16100,Итого по символам 16101 - 16105,
422,120,16000,Итого по разделу 6,
423,20,,"Раздел 7. Корректировки, увеличивающие процентные доходы, на разницу между резервами на возможные потери и оценочными резервами под ожидаемые кредитные убытки",
424,20,,"1. По предоставленным кредитам и кредитам, права требования по которым приобретены:",
425,10,17101,Минфину России,
426,10,17102,финансовым органам субъектов Российской Федерации и органов местного самоуправления,
427,10,17103,государственным внебюджетным фондам Российской Федерации,
428,10,17104,внебюджетным фондам субъектов Российской Федерации и органов местного самоуправления,
429,10,17105,"финансовым организациям, находящимся в федеральной собственности",
430,10,17106,"коммерческим организациям, находящимся в федеральной собственности",
431,10,17107,"некоммерческим организациям, находящимся в федеральной собственности",
432,10,17108,"финансовым организациям, находящимся в государственной (кроме федеральной) собственности",
433,10,17109,"коммерческим организациям, находящимся в государственной (кроме федеральной) собственности",
434,10,17110,"некоммерческим организациям, находящимся в государственной (кроме федеральной) собственности",
435,10,17111,негосударственным финансовым организациям,
436,10,17112,негосударственным коммерческим организациям,
437,10,17113,негосударственным некоммерческим организациям,
438,10,17114,индивидуальным предпринимателям,
439,10,17115,гражданам (физическим лицам),
440,10,17116,юридическим лицам - нерезидентам,
441,10,17117,физическим лицам - нерезидентам,
442,10,17118,кредитным организациям,
443,10,17119,банкам-нерезидентам,
444,10,17120,иностранным государствам,
445,120,17100,Итого по символам 17101 - 17120,
446,20,,"2. По прочим размещенным средствам, в том числе по прочим приобретенным правам требования:",
447,10,17201,в Минфине России,
448,10,17202,в финансовых органах субъектов Российской Федерации и органов местного самоуправления,
449,10,17203,в государственных внебюджетных фондах Российской Федерации,
450,10,17204,во внебюджетных фондах субъектов Российской Федерации и органов местного самоуправления,
451,10,17205,"в финансовых организациях, находящихся в федеральной собственности",
452,10,17206,"в коммерческих организациях, находящихся в федеральной собственности",
453,10,17207,"в некоммерческих организациях, находящихся в федеральной собственности",
454,10,17208,"в финансовых организациях, находящихся в государственной (кроме федеральной) собственности",
